"River Name","Site","Ele","Amo","Wea"
"Grasse","Up stream","Al","0.605555555555556","sunny"
"Grasse","Mid stream","Al","0.425","wet"
"Grase","Down stream","Al","0.194444444444444","wet"
"Oswegatchie","Up stream","Al","1","cloudy"
"Oswegatchie","Mid stream","Al","0.161111111111111","sunny"
"Oswegatchie","Down stream","Al","0.0333333333333333","sunny"
"Raquette","Up stream","Al","0.291666666666667","sunny"
"Raquette","Mid stream","Al","0.0388888888888889","sunny"
"Raquette","Down stream","Al","0","snowy"
"St. Regis","Up stream","Al","0.680555555555556","cloudy"
"St. Regis","Mid stream","Al","0.45","snowy"
"St. Regis","Down stream","Al","0.286111111111111","cloudy"
"Grasse","Up stream","Ba","0.505283381364073","cloudy"
"Grasse","Mid stream","Ba","0.564841498559078","snowy"
"Grasse","Down stream","Ba","0.523535062439962","cloudy"
"Oswegatchie","Up stream","Ba","0.357348703170029","sunny"
"Oswegatchie","Mid stream","Ba","0.560038424591739","sunny"
"Oswegatchie","Down stream","Ba","1","sunny"
"Raquette","Up stream","Ba","0","snowy"
"Raquette","Mid stream","Ba","0.22478386167147","snowy"
"Raquette","Dow stream","Ba","0.364073006724304","sunny"
"St. Regis","Up stream","Ba","0.379442843419789","sunny"
"St. Regis","Mid stream","Ba","0.296829971181556","cloudy"
"St. Regis","Down stream","Ba","0.577329490874159","sunny"
"Grasse","Up stream","Br","0.107142857142857","wet"
"Grasse","Mid stream","Br","0.0357142857142857","cloudy"
"Grasse","Down stream","Br","0.178571428571429","snowy"
"Oswegatchie","Up stream","Br","0.107142857142857","wet"
"Oswegatchie","Mid stream","Br","0.857142857142857","cloudy"
"Oswegatchie","Down stream","Br","1","wet"
"Raquette","Up stream","Br","0","wet"
"Raquette","Mid stream","Br","0.0714285714285714","snowy"
"Raquette","Down stream","Br","0.214285714285714","wet"
"St. Regis","Up stream","Br","0.0357142857142857","sunny"
"St. Regis","Mid stream","Br","0.0357142857142857","snowy"
"St. Regis","Down stream","Br","0.107142857142857","snowy"
"Grasse","Up stream","Ca","0.115987189474595","wet"
"Grasse","Mid stream","Ca","0.360945209036614","cloudy"
"Grasse","Down stream","Ca","0.730978966502207","wet"
"Oswegatchie","Up stream","Ca","0","cloudy"
"Oswegatchie","Mid stream","Ca","0.484722582878906","sunny"
"Oswegatchie","Down stream","Ca","1","snowy"
"Raquette","Up stream","Ca","0.0612827836925474","snowy"
"Raquette","Mid stream","Ca","<0.1","cloudy"
"Raquette","Down stream","Ca","0.523586947113304","sunny"
"St. Regis","Up stream","Ca","0.132433134250844","cloudy"
"St. Regis","Mid stream","Ca","0.251622955076603","wet"
"St. Regis","Down stream","Ca","0.427767679390634","wet"
"Grasse","Up stream","Ce","0.514450867052023","wet"
"Grasse","Mid stream","Ce","0.520231213872832","cloudy"
"Grasse","Down stream","Ce","0.283236994219653","snowy"
"Oswegatchie","Up stream","Ce","1","wet"
"Oswegatchie","Mid stream","Ce","0.184971098265896","sunny"
"Oswegatchie","Down stream","Ce","0.069364161849711","wet"
"Raquette","Up stream","Ce","0.127167630057803","wet"
"Raquette","Mid stream","Ce","0.0115606936416185","sunny"
"Raquette","Down stream","Ce","0","cloudy"
"St. Regis","Up stream","Ce","0.497109826589595","sunny"
"St. Regis","Mid stream","Ce","0.341040462427746","cloudy"
"St. Regis","Down stream","Ce","0.219653179190751","sunny"
"Grasse","Up stream","Cu","0","sunny"
"Grasse","Mid stream","Cu","0.2","wet"
"Grasse","Down stream","Cu","1","wet"
"Oswegatchie","Up stream","Cu","0.2","snowy"
"Oswegatchie","Mid stream","Cu","0.7","snowy"
"Oswegatchie","Down stream","Cu","0.6","wet"
"Raquette","Up stream","Cu","0.2","snowy"
"Raquette","Mid stream","Cu","0.1","cloudy"
"Raquette","Down stream","Cu","0.2","cloudy"
"St. Regis","Up stream","Cu","0.2","wet"
"St. Regis","Mid stream","Cu","0.1","snowy"
"St. Regis","Down stream","Cu","0.1","sunny"
"Grasse","Up stream","Dy","0.65","snowy"
"Grasse","Mid stream","Dy","0.75","sunny"
"Grasse","Down stream","Dy","0.45","sunny"
"Oswegatchie","Up stream","Dy","1","sunny"
"Oswegatchie","Mid stream","Dy","0.3","wet"
"Oswegatchie","Down stream","Dy","0.15","sunny"
"Raquette","Up stream","Dy","0.1","sunny"
"Raquette","Mid stream","Dy","0.05","cloudy"
"Raquette","Down stream","Dy","0","sunny"
"St. Regis","Upstream","Dy","0.65","snowy"
"St. Regis","Mid stream","Dy","0.55","wet"
"St. Regis","Down stream","Dy","0.35","sunny"
"Grasse","Up stream","Er","0.6","cloudy"
"Grasse","Mid stream","Er","0.666666666666667","snowy"
"Grass","Down stream","Er","0.4","wet"
"Oswegatchie","Up stream","Er","1","snowy"
"Oswegatchie","Mid stream","Er","0.266666666666667","sunny"
"Oswegatchie","Down stream","Er","0.133333333333333","cloudy"
"Raquette","Up stream","Er","0.0666666666666667","snowy"
"Raquette","Mid stream","Er","0.0666666666666667","wet"
"Raquette","Down stream","Er","0","cloudy"
"St. Regis","Up stream","Er","0.6","wet"
"St. Regis","Mid stream","Er","0.4","sunny"
"St. Regis","Down stream","Er","0.333333333333333","wet"
"Grasse","Up stream","Fe","1","sunny"
"grasse","Mid stream","Fe","0.541575492341357","wet"
"Grasse","Down stream","Fe","0.324945295404814","snowy"
"Oswegatchie","Up stream","Fe","0.908096280087527","snowy"
"Oswegatchie","Mid stream","Fe","0.217724288840263","cloudy"
"Oswegatchie","Down stream","Fe","0.109409190371991","snowy"
"Raquette","Up stream","Fe","0.0853391684901532","wet"
"raquette","Mid stream","Fe","0.00656455142231947","cloudy"
"Raquette","Down stream","Fe","0","cloudy"
"St. Regis","Up stream","Fe","0.788840262582057","cloudy"
"St. Regis","Mid stream","Fe","0.588621444201313","sunny"
"St. Regis","Down stream","Fe","0.350109409190372","snowy"
"Grasse","Up stream","Gd","0.772727272727273","cloudy"
"Grasse","Mid stream","Gd","0.818181818181818","wet"
"Grasse","Down stream","Gd","0.590909090909091","cloudy"
"Oswegatchie","Up stream","Gd","1","wet"
"Oswegatchie","Mid stream","Gd","0.272727272727273","sunny"
"Oswegatchie","Down stream","Gd","0.227272727272727","snowy"
"Raquette","Up stream","Gd","0.136363636363636","wet"
"Raquette","Mid stream","Gd","0.0909090909090909","wet"
"Raquette","Down stream","Gd","0","wet"
"St. Regis","Up stream","Gd","0.590909090909091","wet"
"St. Regis","Mid stream","Gd","0.590909090909091","snowy"
"St. Regis","Down stream","Gd","0.454545454545455","wet"
"Grasse","Up stream","Ho",NA,"cloudy"
"Grasse","Mid stream","Ho",NA,"sunny"
"Grasse","Down stream","Ho",NA,"wet"
"Oswegatchie","Up stream","Ho",NA,"snowy"
"Oswegatchie","Mid stream","Ho",NA,"snowy"
"Oswegatchie","Down stream","Ho",NA,"cloudy"
"Raquette","Up stream","Ho",NA,"cloudy"
"Raquette","Mid stream","Ho",NA,"wet"
"Raquette","Down stream","Ho",NA,"sunny"
"St. Regis","Up stream","Ho",NA,"sunny"
"St. Regis","Mid stream","Ho",NA,"wet"
"St. Regis","Down stream","Ho",NA,"wet"
"Grasse","Up stream","K","0.0313479623824451","cloudy"
"Grasse","Mid stream","K","0.230407523510972","wet"
"Grasse","Down stream","K","0.4858934169279","wet"
"Oswegatchie","Up stream","K","0.18025078369906","wet"
"Oswegatchie","Mid stream","K","0.426332288401254","wet"
"Oswegatchie","Down stream","K","1","sunny"
"Raquette","Up stream","K","0.24294670846395","cloudy"
"Raquette","Mid stream","K","0.304075235109718","sunny"
"Raquette","Down stream","K","0.619122257053291","wet"
"St. Regis","Up stream","K","0","wet"
"St. Regis","Mid stream","K","0.109717868338558","wet"
"St. Regis","Down stream","K","0.231974921630094","sunny"
"Grasse","Up stream","La","0.477064220183486","wet"
"Grasse","Mid stream","La","0.688073394495413","snowy"
"Grasse","Down stream","La","0.348623853211009","snowy"
"Oswegatchie","Up stream","La","1","cloudy"
"Oswegatchie","Mid stream","La","0.302752293577982","cloudy"
"Oswegatchie","Down stream","La","0.146788990825688","wet"
"Raquette","Up stream","La","0.0825688073394495","snowy"
"Raquette","Mid stream","La","0.0275229357798165","sunny"
"Raquette","Down stream","La","0","wet"
"St. Regis","Up stream","La","0.458715596330275","sunny"
"St. Regis","Mid stream","La","0.36697247706422","snowy"
"St. Regis","Down stream","La","0.229357798165138","snowy"
"Grasse","Up stream","Li","0.5","cloudy"
"Grasse","Mid stream","Li","0.5","wet"
"Grasse","Down stream","Li","1","snowy"
"Oswegatchie","Up stream","Li","0.5","cloudy"
"Oswegatchie","Mid stream","Li","1","snowy"
"Oswegatchie","Down stream","Li","1","snowy"
"Raquette","Up stream","Li","0","wet"
"Raquette","Mid stream","Li","0","sunny"
"Raquette","Down stream","Li","0.5","snowy"
"St. Regis","Up stream","Li","0.5","wet"
"St. Regis","Mid stream","Li","0.5","wet"
"St. Regis","Down stream","Li","0.5","snowy"
"Grasse","Up stream","Mg","0.106202723146747","wet"
"Grasse","Mid stream","Mg","0.404236006051437","snowy"
"Grasse","Down stream","Mg","0.890771558245083","cloudy"
"Oswegatchie","Up stream","Mg","0","sunny"
"Oswegatchie","Mid stream","Mg","0.404841149773071","cloudy"
"Oswegatchie","Down stream","Mg","1","sunny"
"Raquette","Up stream","Mg","0.0698940998487141","sunny"
"Raquette","Mid stream","Mg","0.261724659606657","sunny"
"Raquette","Down stream","Mg","0.641754916792738","cloudy"
"St. Regis","Up stream","Mg","0.175189107413011","wet"
"St. Regis","Mid stream","Mg","0.318608169440242","sunny"
"St. Regis","Down stream","Mg","0.52768532526475","cloudy"
"Grasse","Up stream","Mn","0.113080684596577","cloudy"
"Grasse","Mid stream","Mn","0.122860635696821","snowy"
"Grasse","Down stream","Mn","0.0654034229828851","wet"
"Oswegatchie","Up stream","Mn","1","wet"
"Oswegatchie","Mid stream","Mn","0.0611246943765281","snowy"
"Oswegatchie","Down stream","Mn","0.00672371638141809","wet"
"Raquette","Up stream","Mn","0.0177261613691931","sunny"
"Raquette","Mid stream","Mn","0.0134474327628362","sunny"
"Raquette","Down stream","Mn","0","cloudy"
"St. Regis","Up stream","Mn","0.112469437652812","snowy"
"St. Regis","Mid stream","Mn","0.127750611246944","sunny"
"St. Regis","Down stream","Mn","0.0562347188264059","wet"
"Grasse","Up stream","Nd","0.544776119402985","snowy"
"Grasse","Mid stream","Nd","0.671641791044776","wet"
"Grasse","Down stream","Nd","0.395522388059701","sunny"
"Oswegatchie","Up stream","Nd","1","sunny"
"Oswegatchie","Mid stream","Nd","0.276119402985075","sunny"
"Oswegatchie","Down stream","Nd","0.134328358208955","cloudy"
"Raquette","Up stream","Nd","0.104477611940299","snowy"
"Raquette","Mid stream","Nd","0.0298507462686567","cloudy"
"Raquette","Down stream","Nd","0","cloudy"
"St. Regis","Up stream","Nd","0.559701492537313","sunny"
"St. Regis","Mid stream","Nd","0.455223880597015","cloudy"
"St. Regis","Down stream","Nd","0.276119402985075","cloudy"
"Grasse","Up stream","Pr","0.548387096774194","sunny"
"Grasse","Mid stream","Pr","0.67741935483871","cloudy"
"Grasse","Down stream","Pr","0.387096774193548","sunny"
"Oswegatchie","Up stream","Pr","1","sunny"
"Oswegatchie","Mid stream","Pr","0.290322580645161","wet"
"Oswegatchie","Down stream","Pr","0.129032258064516","cloudy"
"Raquette","Up stream","Pr","0.0967741935483871","sunny"
"Raquette","Mid stream","Pr","0.032258064516129","sunny"
"Raquette","Down stream","Pr","0","cloudy"
"St. Regis","Up stream","Pr","0.516129032258065","sunny"
"St. Regis","Mid stream","Pr","0.419354838709677","wet"
"St. Regis","Down stream","Pr","0.258064516129032","cloudy"
"Grasse","Up stream","Rb","0.0519480519480518","sunny"
"Grasse","Mid stream","Rb","0.519480519480519","cloudy"
"Grasse","Down stream","Rb","0.662337662337662","snowy"
"Oswegatchie","Up stream","Rb","0.337662337662338","sunny"
"Oswegatchie","Mid stream","Rb","0.727272727272727","sunny"
"Oswegatchie","Down stream","Rb","1","sunny"
"Raquette","Up stream","Rb","0.675324675324675","cloudy"
"Raquette","Mid stream","Rb","0.649350649350649","snowy"
"Raquette","Down stream","Rb","0.766233766233766","cloudy"
"St. Regis","Up stream","Rb","0","cloudy"
"St. Regis","Mid stream","Rb","0.168831168831169","cloudy"
"St. Regis","Down stream","Rb","0.363636363636364","snowy"
"Grasse","Up stream","Si","0.821359223300971","wet"
"Grasse","Mid stream","Si","0.658252427184466","sunny"
"Grasse","Down stream","Si","0.731391585760518","sunny"
"Oswegatchie","Up stream","Si","0.468608414239482","snowy"
"Oswegatchie","Mid stream","Si","0.27378640776699","wet"
"Oswegatchie","Down stream","Si","0.640129449838188","wet"
"Raquette","Up stream","Si","0","snowy"
"Raquette","Mid stream","Si","0.0705501618122977","cloudy"
"Raquette","Down stream","Si","0.0776699029126214","sunny"
"St. Regis","Up stream","Si","1","cloudy"
"St. Regis","Mid stream","Si","0.845307443365696","sunny"
"St. Regis","Down stream","Si","0.686084142394822","cloudy"
"Grasse","Up stream","Sr","0.209039548022599","wet"
"Grasse","Mid stream","Sr","0.348998459167951","cloudy"
"Grasse","Down stream","Sr","0.787621982537237","wet"
"Oswegatchie","Up stream","Sr","0","snowy"
"Oswegatchie","Mid stream","Sr","0.594247560349255","snowy"
"Oswegatchie","Down stream","Sr","1","snowy"
"Raquette","Up stream","Sr","0.123009758602979","cloudy"
"Raquette","Mid stream","Sr","0.261427837699024","cloudy"
"Raquette","Down stream","Sr","0.621212121212121","sunny"
"St. Regis","Up stream","Sr","0.163585002568053","snowy"
"St. Regis","Mid stream","Sr","0.179506933744222","cloudy"
"St. Regis","Down stream","Sr","0.330765279917822","sunny"
"Grasse","Up stream","Y","0.658536585365854","sunny"
"Grasse","Mid stream","Y","0.713414634146341","sunny"
"Grasse","Down stream","Y","0.396341463414634","cloudy"
"Oswegatchie","Up stream","Y","1","snowy"
"Oswegatchie","Mid stream","Y","0.304878048780488","cloudy"
"Oswegatchie","Down stream","Y","0.140243902439024","cloudy"
"Raquette","Up stream","Y","0.0670731707317073","snowy"
"Raquette","Mid stream","Y","0.048780487804878","sunny"
"Raquette","Down stream","Y","0","snowy"
"St. Regis","Up stream","Y","0.560975609756098","wet"
"St. Regis","Mid stream","Y","0.457317073170732","sunny"
"St. Regis","Down stream","Y","0.304878048780488","wet"
"Grasse","Up stream","Yb","0.642857142857143","snowy"
"Grasse","Mid stream","Yb","0.571428571428572","sunny"
"Grasse","Down stream","Yb","0.428571428571429","sunny"
"Oswegatchie","Up stream","Yb","1","snowy"
"Oswegatchie","Mid stream","Yb","0.214285714285714","sunny"
"Oswegatchie","Down stream","Yb","0.142857142857143","sunny"
"Raquette","Up stream","Yb","0","snowy"
"Raquette","Mid stream","Yb","0.0714285714285714","cloudy"
"Raquette","Down stream","Yb","0","cloudy"
"St. Regis","Up stream","Yb","0.642857142857143","cloudy"
"St. Regis","Mid stream","Yb","0.428571428571429","snowy"
"St. Regis","Down stream","Yb","0.357142857142857","sunny"
"Grasse","Up stream","Zn","1","sunny"
"Grasse","Mid stream","Zn","0.253164556962025","sunny"
"Grasse","Down stream","Zn","0","snowy"
"Oswegatchie","Up stream","Zn","1","wet"
"Oswegatchie","Mid stream","Zn","0.531645569620253","cloudy"
"Oswegatchie","Down stream","Zn","0.240506329113924","sunny"
"Raquette","Up stream","Zn","0.291139240506329","wet"
"Raquette","Mid stream","Zn","0","cloudy"
"Raquette","Down stream","Zn","0.987341772151899","sunny"
"St. Regis","Up stream","Zn","0.746835443037975","cloudy"
"St. Regis","Mid stream","Zn","0.379746835443038","wet"
"St. Regis","Down stream","Zn","0.10126582278481","wet"
"Grasse","Up stream","Zr","0.888888888888889","wet"
"Grasse","Mid stream","Zr","0.666666666666667","snowy"
"Grasse","Down stream","Zr","0.777777777777778","snowy"
"Oswegatchie","Up stream","Zr","1","snowy"
"Oswegatchie","Mid stream","Zr","0.333333333333333","wet"
"Oswegatchie","Down stream","Zr","0.333333333333333","wet"
"Raquette","Up stream","Zr","0.333333333333333","cloudy"
"Raquette","Mid stream","Zr","0.111111111111111","sunny"
"Raquette","Down stream","Zr","0","sunny"
"St. Regis","Up stream","Zr","0.888888888888889","snowy"
"St. Regis","Mid stream","Zr","0.777777777777778","cloudy"
"St. Regis","Down stream","Zr","0.666666666666667","snowy"
